,idaviso,dia,visits,impressions,leads
512,46633958,2021-10-26,0.0,5.0,0.0
513,46633958,2021-10-27,0.0,2.0,0.0
514,46633958,2021-10-29,0.0,1.0,0.0
515,46663796,2021-09-29,0.0,2.0,0.0
516,46663796,2021-10-01,1.0,0.0,0.0
517,46663796,2021-10-02,0.0,1.0,0.0
518,46663796,2021-10-03,0.0,2.0,0.0
519,46663796,2021-10-04,0.0,5.0,0.0
520,46663796,2021-10-05,0.0,1.0,0.0
521,46663796,2021-10-06,0.0,1.0,0.0
522,46663796,2021-10-07,0.0,2.0,0.0
523,46663796,2021-10-08,0.0,2.0,0.0
524,46663796,2021-10-10,0.0,1.0,0.0
525,46663796,2021-10-13,0.0,2.0,0.0
526,46663796,2021-10-14,0.0,1.0,0.0
527,46663796,2021-10-15,1.0,1.0,0.0
528,46663796,2021-10-18,1.0,1.0,0.0
529,46663796,2021-10-19,0.0,6.0,0.0
530,46663796,2021-10-20,0.0,1.0,0.0
531,46663796,2021-10-21,0.0,1.0,0.0
532,46663796,2021-10-22,0.0,1.0,0.0
533,46663796,2021-10-23,0.0,2.0,0.0
534,46663796,2021-10-24,0.0,2.0,0.0
535,46663796,2021-10-28,0.0,4.0,0.0
536,47003260,2021-10-01,0.0,1.0,0.0
537,47003260,2021-10-02,0.0,3.0,0.0
538,47003260,2021-10-03,0.0,2.0,0.0
539,47003260,2021-10-04,0.0,3.0,0.0
540,47003260,2021-10-05,0.0,1.0,0.0
541,47003260,2021-10-06,0.0,1.0,0.0
542,47003260,2021-10-07,0.0,3.0,0.0
543,47003260,2021-10-08,0.0,1.0,0.0
544,47003260,2021-10-09,0.0,1.0,0.0
545,47003260,2021-10-11,0.0,2.0,0.0
546,47003260,2021-10-12,0.0,1.0,0.0
547,47003260,2021-10-13,0.0,1.0,0.0
548,47003260,2021-10-14,0.0,1.0,0.0
549,47003260,2021-10-15,0.0,1.0,0.0
550,47003260,2021-10-16,0.0,3.0,0.0
551,47003260,2021-10-17,0.0,2.0,0.0
552,47003260,2021-10-19,0.0,3.0,0.0
553,47003260,2021-10-21,0.0,2.0,0.0
